Form Control,State,Excluding State,Form Type,Form Type Description,Form Name,Form Number,Form Priority,Form Key,Form Version,Filed Form Number,Location,Docusign Link,Form Status,Start Date,End Date,Interview ID,Auth Combined,Application Combined,Policy Combined,Policy Packet,Producer Combined,Illustration Combined,Form Owner,Insured/Applicant/Owner Name & Signature,Ethos Agent Signature,Carrier Signature,Ethos Address,Carrier Address,Field Mapping,Internal Doc Type,External Doc Type,Acord Doc Type,External Doc Control,External Form Description,Business Rule,Notes,Required Fields,,,,,,,,,,,,,,,,
Banner_FEGI,Compact,"CA, SC, FL",Application ,,APPLICATION FOR INDIVIDUAL GUARANTEED WHOLE LIFE INSURANCE (Additional Information Signature Page),ICC25-AGIWL,42.0,6f06fc22-4f9e-4120-b352-63f74e4c7e74,,,ICC25-AGIWL,Link,Pending,2025-11-14 00:00:00,,,N,Y,Y,Y,N,N,Carrier,Y,Y,N,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,
Banner_FEGI,SC,,Application ,,APPLICATION FOR INDIVIDUAL GUARANTEED WHOLE LIFE INSURANCE (Additional Information Signature Page),SC25-AGIWL,42.0,0c7f04a8-e073-40bf-9de5-8739528931b5,,,SC25-AGIWL,Link,Pending,2025-11-14 00:00:00,,,N,Y,Y,Y,N,N,Carrier,Y,Y,N,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,
Banner_FEGI,FL,,Application ,,APPLICATION FOR INDIVIDUAL GUARANTEED WHOLE LIFE INSURANCE (Additional Information Signature Page),FL25-AGIWL,42.0,3d40f7d1-1de4-467b-86a3-6cfa8241d0c6,,,FL25-AGIWL,Link,Pending,2025-11-14 00:00:00,,,N,Y,Y,Y,N,N,Carrier,Y,Y,N,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,
"Banner_FESI, Banner_FEGI",CA,,Endorsement,,California Fraud Statement,LU-1340-CA,42.0,391835cf-14c6-402a-9182-507d743a7766,,,LU-1340-CA,Link,Pending,1900-01-02 00:00:00,,,N,Y,N,N,N,N,Carrier,N,N,Y,N,Y,N,,,,,,,,,,,,,,,,,,,,,,,,
Banner_FEGI,"Compact, CA, SC, FL",,Contract Pages,,[Policy Contract Pages - Back Cover],Multiple,44.1,30ae5811-c0f5-4bad-955e-f43e782d1e59,,,Multiple,Link,Pending,2025-11-14 00:00:00,,,N,N,Y,Y,N,N,Carrier,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
"Banner_FESI, Banner_FEGI",ME,,Endorsement,,ENDORSEMENT - MAINE,LU1305 ME (9-11),50.0,37a38a9f-0699-48b0-9521-83777415db9b,,,LU1305 ME (9-11),Link,Pending,1900-01-02 00:00:00,,,N,N,Y,Y,N,N,Carrier,N,N,Y,N,Y,N,,,,,,,,,,,,,,,,,,,,,,,,
"Banner_FESI, Banner_FEGI",KS,,Endorsement,,Kansas Notice of Contestability on Replacement Policies,LU1257-KS,50.0,c7cb0cd4-adad-4838-a846-08d1d0e07b1d,,,LU1257-KS,Link,Pending,1900-01-02 00:00:00,,,N,N,Y,Y,N,N,Carrier,N,N,Y,N,Y,N,,,,,,,,,,,,,,,,,,,,,,,,
"Banner_FESI, Banner_FEGI",MO,,Endorsement,,MISSOURI BENEFICIARY DESIGNATION,LU1328-MO,50.0,658c23f9-6830-4e8d-8dc4-0fcc0eba631a,,,LU1328-MO,Link,Pending,1900-01-02 00:00:00,,,N,N,Y,Y,N,N,Carrier,N,N,Y,N,Y,N,,,,,,,,,,,,,,,,,,,,,,,,
"Banner_FESI, Banner_FEGI",PA,,Endorsement,,ENDORSEMENT,ICC13AMUPA,50.0,fb9ca722-5c56-4cd8-8861-54a3fa13b710,,,ICC13AMUPA,Link,Pending,1900-01-02 00:00:00,,,N,N,Y,Y,N,N,Carrier,N,N,Y,N,Y,N,,,,,,,,,,,,,,,,,,,,,,,,
"Banner_FESI, Banner_FEGI","CA, FL",,Policy Benefit,,PERKS BENEFIT,21-ETH PERKS 12/2021,49.0,b014a070-0366-41be-9850-f1709ec3b826,,,21-ETH PERKS 12/2021,Link,Pending,1900-01-02 00:00:00,,,N,N,Y,N,N,N,Carrier,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
